MJD,FLUX
58192.5008007408,8.41662731392114E-07
58232.5008007407,6.76095730749938E-12
58237.5008007407,8.53985822609004E-07
58242.5008007407,1.18336285407875E-06
58247.5008007407,1.15167249924204E-06
58252.5008007407,9.31842000394668E-07
58257.5008007407,1.4944923137608E-06
58262.5008007407,9.68459732760191E-07
58267.5008007407,1.03422554798033E-06
58272.5008007408,1.92215815039976E-07
58277.5008007407,3.78758286708448E-07
58287.5008007408,8.15907922538141E-07
58292.5008007407,7.76606186466138E-07
58297.5008007407,1.25822279613209E-07
58302.5008007408,9.62401401219571E-07
58307.5008007407,7.42405942705971E-07
58312.5008007407,5.95396121734898E-07
58317.5008007407,5.02727308280686E-07
58322.5008007407,5.67369887667788E-07
58327.5008007407,6.22176678963222E-07
58332.5008007407,6.83758012797018E-07
58337.5008007407,5.9869894115624E-07
58342.5008007407,5.48466991426651E-07
58347.5008007407,4.36890207250836E-07
58352.5008007408,6.50358015118934E-07
58357.5008007407,4.51171452192306E-07
58362.5008007407,4.17156270236946E-07
58367.5008007407,3.21477474116012E-07
58372.5008007407,3.75092108996873E-07
58377.5008007407,3.44256745800323E-07
58382.5008007407,3.39753264976843E-07
58387.5008007407,2.68208612216153E-07
58392.5008007407,2.39924654919003E-07
58397.5008007407,3.75306084221929E-07
58402.5008007407,1.44975542799561E-07
58417.5008007407,4.29211592829258E-07
58432.5008007408,7.84604374590564E-12
58437.5008007407,7.8461446611546E-12
58442.5008007407,4.76296599553968E-07
58447.5008007408,3.73582508540988E-07
58452.5008007407,3.76482708062986E-07
58457.5008007407,4.32763172051257E-07
58462.5008007407,3.22812526955319E-07
58467.5008007407,2.03770040276691E-07
58472.5008007407,3.90081519117814E-07
58477.5008007407,1.87688304150641E-07
58482.5008007407,2.21530640107772E-07
58487.5008007407,2.77442646861939E-07
58492.5008007407,3.80068429790753E-07
58497.5008007407,2.73201826622097E-07
58502.5008007407,1.36815752433212E-07
58507.5008007407,2.93074085553961E-07
58512.5008007407,2.42459459860616E-07
58517.5008007407,2.35701215645423E-07
58522.5008007407,2.1839237102917E-07
58527.5008007407,2.91284857266496E-07
58532.5008007407,2.74843345144508E-07
58537.5008007407,2.57890876422378E-07
58542.5008007407,2.75440872439757E-07
58547.5008007407,2.99498598432701E-07
58552.5008007407,2.3943174288216E-07
58557.5008007407,4.33756230168893E-07
58562.5008007407,4.45916030946214E-07
58567.5008007407,2.57027556519217E-07
58572.5008007407,2.72072996235982E-07
58577.5008007407,1.70990777191873E-07
58582.5008007407,2.41957336495574E-07
58587.5008007407,1.82867583587147E-07
58592.5008007408,1.80526275435724E-07
58597.5008007407,3.90340604734991E-07
58602.5008007407,3.21978783344099E-07
58607.5008007408,2.83826626416765E-07
58612.5008007407,2.60278134291568E-07
58617.5008007407,2.67754130661264E-07
58622.5008007407,2.17343373065568E-07
58627.5008007407,1.48916573424678E-07
58632.5008007407,3.0404348740275E-07
58637.5008007407,3.08185431288923E-08
58642.5008007407,1.58302337553085E-07
58647.5008007407,1.33489971982886E-07
58652.5008007407,1.90096635631602E-07
58657.5008007408,1.96715200809797E-07
58662.5008007407,1.90915005241393E-07
58667.5008007407,2.6268142933326E-07
58672.5008007407,1.6025917713227E-07
58677.5008007407,3.99471099058699E-07
58682.5008007407,2.55890693069971E-07
58687.5008007407,2.47121915080542E-07
58692.5008007407,1.7493502046982E-07
58697.5008007407,2.10782636878205E-07
58702.5008007407,1.99936373655167E-07
58707.5008007407,1.1762757017506E-07
58712.5008007407,2.50354005482747E-07
58717.5008007407,2.38494810659952E-07
58722.5008007407,1.79513745483074E-07
58727.5008007407,2.98817342455778E-07
58732.5008007407,3.27768890659215E-07
58737.5008007408,2.73557641287157E-07
58742.5008007407,5.60048382283444E-07
58747.5008007407,3.65908327891773E-07
58752.5008007408,2.27974373182334E-07
58757.5008007407,3.51948485269671E-07
58762.5008007407,2.4962984339696E-07
58767.5008007408,2.04420406270174E-07
58772.5008007407,2.54691172692899E-07
58777.5008007407,2.64256482868293E-07
58782.5008007407,1.40563587780829E-07
58787.5008007407,2.60548530272192E-07
58792.5008007407,2.34791374474715E-07
58797.5008007407,7.33264352412207E-12
58802.5008007407,7.32904031854619E-12
58807.5008007407,7.32918735162869E-12
58812.5008007407,1.57511271256736E-07
58817.5008007408,2.70999418235491E-07
58822.5008007407,1.80496920297137E-07
58827.5008007407,1.61874495201371E-07
58832.5008007407,1.20106130052017E-07
58837.5008007407,1.84520875790771E-07
58842.5008007407,8.2282350765129E-08
58847.5008007407,1.46069888480262E-07
58852.5008007407,1.48770159362336E-07
58857.5008007407,6.37700928145115E-08
58862.5008007407,2.373209851712E-07
58867.5008007407,2.54223353385452E-07
58872.5008007407,2.322540050714E-07
58877.5008007407,4.41465159055883E-07
58882.5008007407,2.84003074782482E-07
58887.5008007407,3.55220618424092E-07
58892.5008007407,3.22301967143215E-07
58897.5008007408,1.8822195862558E-07
58902.5008007407,2.04894247721305E-07
58907.5008007407,2.6817546461386E-07
58912.5008007408,8.93790333052507E-08
58917.5008007407,1.04350219779968E-07
58922.5008007407,2.25354580754016E-07
