MJD,FLUX
56797.6500347222,0.00000035
56807.6500347222,4.38237407E-07
56817.6500347222,4.037984055E-07
56827.6500347222,4.246358797E-07
56837.6500347222,2.909490446E-07
56847.6500347222,4.589380827E-07
56857.6500347222,2.5627559E-07
56867.6500347222,0.000000295
56877.6500347222,3.438145733E-07
56887.6500347222,2.232309401E-07
56897.6500347222,2.663276284E-07
56907.6500347222,3.798564069E-07
56917.6500347222,4.018768378E-07
56927.6500347222,0.00000033
56937.6500347222,3.665393003E-07
56947.6500347222,2.52443024E-07
56957.6500347222,4.213938635E-07
56967.6500347222,4.808206075E-07
56977.6500347222,5.791061638E-07
56987.6500347222,7.537754994E-07
56997.6500347222,4.338488691E-07
57007.6500347222,4.493114848E-07
57017.6500347222,5.318727081E-07
57027.6500347222,0.000000573
57037.6500347222,5.176454329E-07
57047.6500347222,6.266745672E-07
57057.6500347222,4.425118507E-07
57067.6500347222,5.58932595E-07
57077.6500347222,6.624325281E-07
57087.6500347222,5.993508558E-07
57097.6500347222,0.000000637
57107.6500347222,4.034874123E-07
57117.6500347222,5.713541514E-07
57127.6500347222,6.924573419E-07
57137.6500347222,6.198624835E-07
57147.6500347222,7.13124654E-07
57157.6500347222,5.333292028E-07
57167.6500347222,0.000000536
57177.6500347222,3.651077523E-07
57187.6500347222,3.058050389E-07
57197.6500347222,3.871396495E-07
57207.6500347222,4.267029876E-07
57217.6500347222,3.514545058E-07
57227.6500347222,5.051889216E-07
57237.6500347222,5.834837065E-07
57247.6500347222,5.287908761E-07
57257.6500347222,4.867940804E-07
57267.6500347222,4.021331599E-07
57277.6500347222,3.91764713E-07
57287.6500347222,0.000000423
57297.6500347222,4.614107658E-07
57307.6500347222,6.705716774E-07
57317.6500347222,1.0241160985E-06
57327.6500347222,6.937154502E-07
57337.6500347222,0.000000747
57347.6500347222,5.417830701E-07
57357.6500347222,5.695394221E-07
57367.6500347222,4.297620187E-07
57377.6500347222,0.00000025
57387.6500347222,3.362413249E-07
57397.6500347222,4.650854418E-07
57407.6500347222,5.311837838E-07
57417.6500347222,3.917579243E-07
57427.6500347222,5.225365939E-07
57437.6500347222,4.715559693E-07
57447.6500347222,4.539155195E-07
57457.6500347222,3.495207228E-07
57467.6500347222,3.856607245E-07
57477.6500347222,3.024309456E-07
57487.6500347222,1.83463871E-07
57497.6500347222,2.494849424E-07
57507.6500347222,3.140844084E-07
57517.6500347222,3.821611824E-07
57527.6500347222,4.438826084E-07
57537.6500347222,3.189493906E-07
57547.6500347222,4.065760079E-07
57557.6500347222,2.516419636E-07
57567.6500347222,3.143280555E-07
57577.6500347222,3.244398026E-07
57587.6500347222,3.18136952E-07
57597.6500347222,2.345343179E-07
57607.6500347222,2.41362142E-07
57617.6500347222,2.816732065E-07
57627.6500347222,3.261205116E-07
57637.6500347222,3.103158288E-07
57647.6500347222,2.953320812E-07
57657.6500347222,2.337773062E-07
57667.6500347222,3.077346319E-07
57677.6500347222,3.746064805E-07
57687.6500347222,5.470841684E-07
57697.6500347222,6.476064546E-07
57707.6500347222,4.787007396E-07
57717.6500347222,5.176680309E-07
57727.6500347222,5.397857861E-07
57737.6500347222,3.358129089E-07
57747.6500347222,5.640881806E-07
57757.6500347222,8.715396364E-07
57767.6500347222,7.051193439E-07
57777.6500347222,4.057460266E-07
57787.6500347222,4.203421374E-07
57797.6500347222,4.393848974E-07
57807.6500347222,4.926836264E-07
57817.6500347222,3.723411503E-07
57827.6500347222,0.000000546
57837.6500347222,5.271470449E-07
57847.6500347222,5.036904257E-07
57857.6500347222,3.677180673E-07
57867.6500347222,3.640769493E-07
57877.6500347222,3.15123508E-07
57887.6500347222,2.505704715E-07
57897.6500347222,2.224095988E-07
57907.6500347222,5.566139182E-07
57917.6500347222,1.0762596181E-06
57927.6500347222,8.601594131E-07
57937.6500347222,7.201548873E-07
57947.6500347222,5.898848531E-07
57957.6500347222,8.988591492E-07
57967.6500347222,8.756498136E-07
57977.6500347222,9.266946965E-07
57987.6500347222,7.546112607E-07
57997.6500347222,6.777172847E-07
58007.6500347222,8.6926175E-07
58017.6500347222,5.624594865E-07
58027.6500347222,0.000000604
58037.6500347222,7.121551265E-07
58047.6500347222,6.472997048E-07
58057.6500347222,5.58529999E-07
